연도,월,업종,시도,군구,거리,건수
2019,05,한식,경기도,수원시 장안구,1500m이하,6
2019,05,한식,경기도,수원시 장안구,1500m초과 3000m이하,7
2019,05,한식,경기도,수원시 장안구,5000m초과,1
2019,05,패스트푸드,경기도,수원시 팔달구,1500m이하,3
2019,05,패스트푸드,경기도,수원시 팔달구,3000m초과 5000m이하,3
2019,05,카페/디저트,경기도,양주시,1500m이하,1
2019,05,분식,경기도,의정부시,1500m이하,106
2019,05,분식,경기도,의정부시,1500m초과 3000m이하,56
2019,05,분식,경기도,의정부시,3000m초과 5000m이하,6
2019,05,족발/보쌈,경기도,의정부시,1500m이하,11
2019,05,족발/보쌈,경기도,의정부시,1500m초과 3000m이하,1
2019,05,찜탕,경기도,의정부시,1500m초과 3000m이하,2
2019,05,치킨,경기도,의정부시,1500m이하,12
2019,05,치킨,경기도,의정부시,1500m초과 3000m이하,20
2019,05,치킨,경기도,의정부시,3000m초과 5000m이하,7
2019,05,카페/디저트,경기도,의정부시,1500m이하,50
2019,05,카페/디저트,경기도,의정부시,1500m초과 3000m이하,10
2019,05,카페/디저트,경기도,의정부시,3000m초과 5000m이하,1
2019,05,한식,경기도,의정부시,1500m이하,57
2019,05,한식,경기도,의정부시,1500m초과 3000m이하,44
2019,05,한식,경기도,의정부시,3000m초과 5000m이하,15
2019,05,한식,경기도,의정부시,5000m초과,4
2019,05,회,경기도,의정부시,1500m이하,24
2019,05,회,경기도,의정부시,1500m초과 3000m이하,27
2019,05,회,경기도,의정부시,3000m초과 5000m이하,46
2019,05,회,경기도,의정부시,5000m초과,8
2019,05,회,경기도,화성시,1500m이하,1
2019,05,회,경기도,화성시,1500m초과 3000m이하,1
2019,05,한식,경상남도,김해시,1500m이하,1
2019,05,한식,경상남도,김해시,1500m초과 3000m이하,1
2019,05,치킨,경상남도,진주시,1500m이하,2
2019,05,패스트푸드,경상남도,창원시 마산회원구,1500m이하,2
2019,05,심부름,대구광역시,남구,3000m초과 5000m이하,2
2019,05,심부름,대구광역시,남구,5000m초과,2
2019,05,돈까스/일식,대구광역시,달서구,1500m이하,13
2019,05,돈까스/일식,대구광역시,달서구,1500m초과 3000m이하,13
2019,05,배달전문업체,대구광역시,달서구,1500m이하,27
2019,05,배달전문업체,대구광역시,달서구,1500m초과 3000m이하,47
2019,05,배달전문업체,대구광역시,달서구,3000m초과 5000m이하,9
2019,05,분식,대구광역시,달서구,1500m이하,1220
2019,05,분식,대구광역시,달서구,1500m초과 3000m이하,1294
2019,05,분식,대구광역시,달서구,3000m초과 5000m이하,110
2019,05,분식,대구광역시,달서구,5000m초과,10
2019,05,심부름,대구광역시,달서구,1500m이하,1
2019,05,심부름,대구광역시,달서구,3000m초과 5000m이하,1
2019,05,야식,대구광역시,달서구,1500m이하,65
2019,05,야식,대구광역시,달서구,1500m초과 3000m이하,99
2019,05,야식,대구광역시,달서구,3000m초과 5000m이하,21
2019,05,족발/보쌈,대구광역시,달서구,1500m이하,151
2019,05,족발/보쌈,대구광역시,달서구,1500m초과 3000m이하,227
2019,05,족발/보쌈,대구광역시,달서구,3000m초과 5000m이하,82
2019,05,족발/보쌈,대구광역시,달서구,5000m초과,05
2019,05,중식,대구광역시,달서구,1500m이하,105
2019,05,중식,대구광역시,달서구,1500m초과 3000m이하,27
2019,05,찜탕,대구광역시,달서구,1500m이하,52
2019,05,찜탕,대구광역시,달서구,1500m초과 3000m이하,28
2019,05,치킨,대구광역시,달서구,1500m이하,1078
2019,05,치킨,대구광역시,달서구,1500m초과 3000m이하,766
2019,05,치킨,대구광역시,달서구,3000m초과 5000m이하,168
2019,05,카페/디저트,대구광역시,달서구,1500m이하,54
2019,05,카페/디저트,대구광역시,달서구,1500m초과 3000m이하,6
2019,05,패스트푸드,대구광역시,달서구,1500m이하,29
2019,05,패스트푸드,대구광역시,달서구,1500m초과 3000m이하,25
2019,05,피자,대구광역시,달서구,1500m이하,376
2019,05,피자,대구광역시,달서구,1500m초과 3000m이하,252
2019,05,피자,대구광역시,달서구,3000m초과 5000m이하,58
2019,05,한식,대구광역시,달서구,1500m이하,344
2019,05,한식,대구광역시,달서구,1500m초과 3000m이하,374
2019,05,한식,대구광역시,달서구,3000m초과 5000m이하,102
2019,05,한식,대구광역시,달서구,5000m초과,1
2019,05,회,대구광역시,달서구,1500m이하,26
2019,05,회,대구광역시,달서구,1500m초과 3000m이하,23
2019,05,회,대구광역시,달서구,3000m초과 5000m이하,2
2019,05,회,대구광역시,달서구,5000m초과,1
2019,05,분식,대구광역시,달성군,1500m이하,75
2019,05,분식,대구광역시,달성군,1500m초과 3000m이하,1
2019,05,치킨,대구광역시,달성군,1500m이하,34
2019,05,치킨,대구광역시,달성군,1500m초과 3000m이하,24
2019,05,치킨,대구광역시,달성군,3000m초과 5000m이하,05
2019,05,패스트푸드,대구광역시,달성군,1500m이하,211
2019,05,패스트푸드,대구광역시,달성군,1500m초과 3000m이하,24
2019,05,피자,대구광역시,달성군,1500m이하,9
2019,05,피자,대구광역시,달성군,1500m초과 3000m이하,1
2019,05,한식,대구광역시,달성군,1500m이하,660
2019,05,한식,대구광역시,달성군,1500m초과 3000m이하,312
2019,05,한식,대구광역시,달성군,3000m초과 5000m이하,11
2019,05,회,대구광역시,달성군,1500m이하,23
2019,05,회,대구광역시,달성군,1500m초과 3000m이하,12
2019,05,회,대구광역시,달성군,3000m초과 5000m이하,31
2019,05,심부름,대구광역시,동구,1500m이하,05
2019,05,심부름,대구광역시,동구,3000m초과 5000m이하,2
2019,05,심부름,대구광역시,동구,5000m초과,22
2019,05,치킨,대구광역시,동구,1500m이하,05
2019,05,치킨,대구광역시,동구,1500m초과 3000m이하,2
2019,05,치킨,대구광역시,동구,3000m초과 5000m이하,4
2019,05,치킨,대구광역시,동구,5000m초과,33
2019,05,피자,대구광역시,동구,1500m초과 3000m이하,1
2019,05,피자,대구광역시,동구,3000m초과 5000m이하,4
2019,05,피자,대구광역시,동구,5000m초과,1
2019,05,도시락,대구광역시,수성구,1500m이하,17
2019,05,도시락,대구광역시,수성구,1500m초과 3000m이하,14
2019,05,도시락,대구광역시,수성구,3000m초과 5000m이하,1
2019,05,돈까스/일식,대구광역시,수성구,1500m이하,23
2019,05,돈까스/일식,대구광역시,수성구,1500m초과 3000m이하,26
2019,05,돈까스/일식,대구광역시,수성구,3000m초과 5000m이하,2
2019,05,배달전문업체,대구광역시,수성구,1500m이하,25
2019,05,배달전문업체,대구광역시,수성구,1500m초과 3000m이하,23
2019,05,배달전문업체,대구광역시,수성구,3000m초과 5000m이하,9
2019,05,분식,대구광역시,수성구,1500m이하,84
2019,05,분식,대구광역시,수성구,1500m초과 3000m이하,33
2019,05,심부름,대구광역시,수성구,1500m이하,2
2019,05,아시안/양식,대구광역시,수성구,1500m이하,7
2019,05,아시안/양식,대구광역시,수성구,1500m초과 3000m이하,7
2019,05,아시안/양식,대구광역시,수성구,3000m초과 5000m이하,1
2019,05,야식,대구광역시,수성구,1500m이하,05
2019,05,야식,대구광역시,수성구,1500m초과 3000m이하,7
2019,05,야식,대구광역시,수성구,3000m초과 5000m이하,2
2019,05,족발/보쌈,대구광역시,수성구,1500m이하,15
2019,05,족발/보쌈,대구광역시,수성구,1500m초과 3000m이하,13
2019,05,족발/보쌈,대구광역시,수성구,3000m초과 5000m이하,2
2019,05,중식,대구광역시,수성구,1500m이하,2
2019,05,찜탕,대구광역시,수성구,1500m이하,05
2019,05,찜탕,대구광역시,수성구,1500m초과 3000m이하,16
2019,05,찜탕,대구광역시,수성구,3000m초과 5000m이하,3
2019,05,치킨,대구광역시,수성구,1500m이하,157
2019,05,치킨,대구광역시,수성구,1500m초과 3000m이하,105
2019,05,치킨,대구광역시,수성구,3000m초과 5000m이하,8
2019,05,패스트푸드,대구광역시,수성구,1500m이하,05
2019,05,패스트푸드,대구광역시,수성구,1500m초과 3000m이하,2
2019,05,패스트푸드,대구광역시,수성구,3000m초과 5000m이하,3
2019,05,피자,대구광역시,수성구,1500m이하,1
2019,05,한식,대구광역시,수성구,1500m이하,33
2019,05,한식,대구광역시,수성구,1500m초과 3000m이하,39
2019,05,회,대구광역시,수성구,1500m이하,11
2019,05,회,대구광역시,수성구,1500m초과 3000m이하,10
2019,05,치킨,부산광역시,해운대구,1500m이하,9
2019,05,치킨,부산광역시,해운대구,1500m초과 3000m이하,7
2019,05,치킨,부산광역시,해운대구,3000m초과 5000m이하,1
2019,05,심부름,서울특별시,강남구,1500m초과 3000m이하,1
2019,05,카페/디저트,서울특별시,노원구,1500m이하,13
2019,05,카페/디저트,서울특별시,노원구,1500m초과 3000m이하,1
2019,05,치킨,서울특별시,도봉구,1500m이하,3
2019,05,카페/디저트,서울특별시,도봉구,1500m이하,1
2019,05,한식,서울특별시,도봉구,1500m이하,1
2019,05,분식,충청남도,천안시 서북구,1500m이하,05
2019,05,분식,충청남도,천안시 서북구,1500m초과 3000m이하,3
2019,05,분식,충청남도,천안시 서북구,5000m초과,1
2019,05,돈까스/일식,충청북도,제천시,1500m이하,200
2019,05,돈까스/일식,충청북도,제천시,1500m초과 3000m이하,173
2019,05,돈까스/일식,충청북도,제천시,3000m초과 5000m이하,13
2019,05,분식,충청북도,제천시,1500m이하,92
2019,05,분식,충청북도,제천시,1500m초과 3000m이하,34
2019,05,분식,충청북도,제천시,3000m초과 5000m이하,3
2019,05,야식,충청북도,제천시,1500m이하,30
2019,05,야식,충청북도,제천시,1500m초과 3000m이하,47
2019,05,야식,충청북도,제천시,3000m초과 5000m이하,18
2019,05,야식,충청북도,제천시,5000m초과,8
2019,05,족발/보쌈,충청북도,제천시,1500m이하,141
2019,05,족발/보쌈,충청북도,제천시,1500m초과 3000m이하,307
2019,05,족발/보쌈,충청북도,제천시,3000m초과 5000m이하,54
2019,05,족발/보쌈,충청북도,제천시,5000m초과,56
2019,05,찜탕,충청북도,제천시,1500m이하,126
2019,05,찜탕,충청북도,제천시,1500m초과 3000m이하,80
2019,05,찜탕,충청북도,제천시,3000m초과 5000m이하,24
2019,05,치킨,충청북도,제천시,1500m이하,853
2019,05,치킨,충청북도,제천시,1500m초과 3000m이하,558
2019,05,치킨,충청북도,제천시,3000m초과 5000m이하,135
2019,05,카페/디저트,충청북도,제천시,1500m이하,117
2019,05,카페/디저트,충청북도,제천시,1500m초과 3000m이하,61
2019,05,카페/디저트,충청북도,제천시,3000m초과 5000m이하,22
2019,05,패스트푸드,충청북도,제천시,1500m이하,1041
2019,05,패스트푸드,충청북도,제천시,1500m초과 3000m이하,118
2019,05,패스트푸드,충청북도,제천시,3000m초과 5000m이하,23
2019,05,패스트푸드,충청북도,제천시,5000m초과,3
2019,05,피자,충청북도,제천시,1500m이하,8
2019,05,피자,충청북도,제천시,1500m초과 3000m이하,21
2019,05,피자,충청북도,제천시,3000m초과 5000m이하,3
2019,05,한식,충청북도,제천시,1500m이하,346
2019,05,한식,충청북도,제천시,1500m초과 3000m이하,334
2019,05,한식,충청북도,제천시,3000m초과 5000m이하,34
2019,05,회,충청북도,제천시,1500m이하,21
2019,05,회,충청북도,제천시,1500m초과 3000m이하,16
2019,6,돈까스/일식,강원도,속초시,1500m이하,21
2019,6,돈까스/일식,강원도,속초시,1500m초과 3000m이하,32
2019,6,돈까스/일식,강원도,속초시,5000m초과,1
2019,6,분식,강원도,속초시,1500m이하,225
2019,6,분식,강원도,속초시,1500m초과 3000m이하,421
2019,6,분식,강원도,속초시,3000m초과 5000m이하,11
2019,6,분식,강원도,속초시,5000m초과,19
2019,6,아시안/양식,강원도,속초시,1500m이하,24
2019,6,아시안/양식,강원도,속초시,1500m초과 3000m이하,7
2019,6,족발/보쌈,강원도,속초시,1500m이하,27
2019,6,족발/보쌈,강원도,속초시,1500m초과 3000m이하,13
2019,6,족발/보쌈,강원도,속초시,3000m초과 5000m이하,1
2019,6,중식,강원도,속초시,1500m이하,85
2019,6,중식,강원도,속초시,1500m초과 3000m이하,37
2019,6,중식,강원도,속초시,3000m초과 5000m이하,10
2019,6,찜탕,강원도,속초시,1500m이하,30
2019,6,찜탕,강원도,속초시,1500m초과 3000m이하,13
2019,6,치킨,강원도,속초시,1500m이하,1100
2019,6,치킨,강원도,속초시,1500m초과 3000m이하,570
2019,6,치킨,강원도,속초시,3000m초과 5000m이하,53
2019,6,치킨,강원도,속초시,5000m초과,6
2019,6,피자,강원도,속초시,1500m이하,6
2019,6,카페/디저트,강원도,원주시,1500m이하,1
2019,6,카페/디저트,경기도,광주시,1500m이하,37
2019,6,카페/디저트,경기도,광주시,1500m초과 3000m이하,12
2019,6,카페/디저트,경기도,광주시,5000m초과,1
2019,6,카페/디저트,경기도,남양주시,1500m이하,813
2019,6,카페/디저트,경기도,남양주시,1500m초과 3000m이하,75
2019,6,한식,경기도,수원시 장안구,1500m이하,1
2019,6,한식,경기도,수원시 장안구,5000m초과,1
2019,6,카페/디저트,경기도,양주시,1500m이하,30
2019,6,카페/디저트,경기도,양주시,1500m초과 3000m이하,18
2019,6,카페/디저트,경기도,양주시,3000m초과 5000m이하,2
2019,6,도시락,경기도,의정부시,1500m이하,27
2019,6,도시락,경기도,의정부시,1500m초과 3000m이하,24
2019,6,도시락,경기도,의정부시,3000m초과 5000m이하,3
2019,6,돈까스/일식,경기도,의정부시,1500m이하,450
2019,6,돈까스/일식,경기도,의정부시,1500m초과 3000m이하,226
2019,6,돈까스/일식,경기도,의정부시,3000m초과 5000m이하,33
2019,6,돈까스/일식,경기도,의정부시,5000m초과,17
2019,6,배달전문업체,경기도,의정부시,1500m이하,180
2019,6,배달전문업체,경기도,의정부시,1500m초과 3000m이하,116
2019,6,배달전문업체,경기도,의정부시,3000m초과 5000m이하,50
2019,6,배달전문업체,경기도,의정부시,5000m초과,9
2019,6,분식,경기도,의정부시,1500m이하,1000
2019,6,분식,경기도,의정부시,1500m초과 3000m이하,591
2019,6,분식,경기도,의정부시,3000m초과 5000m이하,101
2019,6,분식,경기도,의정부시,5000m초과,6
2019,6,심부름,경기도,의정부시,1500m이하,63
2019,6,심부름,경기도,의정부시,1500m초과 3000m이하,40
2019,6,심부름,경기도,의정부시,3000m초과 5000m이하,20
2019,6,심부름,경기도,의정부시,5000m초과,13
2019,6,아시안/양식,경기도,의정부시,1500m이하,143
2019,6,아시안/양식,경기도,의정부시,1500m초과 3000m이하,112
2019,6,아시안/양식,경기도,의정부시,3000m초과 5000m이하,8
2019,6,아시안/양식,경기도,의정부시,5000m초과,1
2019,6,야식,경기도,의정부시,1500m이하,475
2019,6,야식,경기도,의정부시,1500m초과 3000m이하,369
2019,6,야식,경기도,의정부시,3000m초과 5000m이하,69
2019,6,야식,경기도,의정부시,5000m초과,22
2019,6,족발/보쌈,경기도,의정부시,1500m이하,1418
2019,6,족발/보쌈,경기도,의정부시,1500m초과 3000m이하,709
2019,6,족발/보쌈,경기도,의정부시,3000m초과 5000m이하,246
2019,6,족발/보쌈,경기도,의정부시,5000m초과,39
2019,6,중식,경기도,의정부시,1500m이하,80
2019,6,중식,경기도,의정부시,1500m초과 3000m이하,49
2019,6,중식,경기도,의정부시,3000m초과 5000m이하,12
